#,Timestamp Unix,Timestamp ISO,Address,Type,Amount as Text,Amount,Currency,Currency issuer,USD Amount equavalent,Direction,Transfer fee as Text,Transfer fee,Transfer fee currency,Transfer fee currency issuer,USD Transfer Fee equavalent,Tx fee as Text,Tx fee,Tx fee currency,USD Tx Fee equavalent,Memo,Tx
17,1738371590,2025-02-01T00:59:50.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,0.454774  XRP ,0.454774,XRP,,1.386510423,dex,,,,,0,0.000012  XRP ,0.000012,XRP,3.65855E-05,,WBD20J3EUG4UVYWBJLFK5HINZJX35XRPC3Y4VI7006EIMYSGI9FCOQ8O54GRFGWJ
18,1738371561,2025-02-01T00:59:21.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,0.000001  XRP ,0.000001,XRP,,3.04199E-06,received,,,,,0,,0,XRP,0,,PUZVVLX7Z9M7GAUQP917ZEY9L88LCY6JWSCFDGZLZXX9KAUAWQ21638Y6ZZNGBU1
19,1738371561,2025-02-01T00:59:21.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,0.000001  XRP ,0.000001,XRP,,3.04199E-06,received,,,,,0,,0,XRP,0,,GXCCQA9VUMGETYUOXA387KG9S6THC0ZBK3U94C739K8XSTWDORADLYIAUEDDOQJI
20,1738371531,2025-02-01T00:58:51.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,"-262,518,108  PCSH ",-262518107.9,5043534800000000000000000000000000000000,rEQqDLHYBA5cLuVpm3by6kaThvZQJL8q68,-15.84274618,sent,,,,,0,,0,XRP,0,,KAD1Q5U052XK8XQ4BWLIC5LHNRS4GHT5TIOJWG5DFSY0ZHLYCDWSU9O33K8AHCBQ
21,1738371531,2025-02-01T00:58:51.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,20.201483  XRP ,20.201483,XRP,,61.65512813,dex,,,,,0,0.000012  XRP ,0.000012,XRP,3.66241E-05,,KAD1Q5U052XK8XQ4BWLIC5LHNRS4GHT5TIOJWG5DFSY0ZHLYCDWSU9O33K8AHCBQ
22,1738368252,2025-02-01T00:04:12.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,0.000001  XRP ,0.000001,XRP,,3.02771E-06,received,,,,,0,,0,XRP,0,,5CGCO4VVY8EDHEEEWAAMGHMCGSNFFZCD7EJ08IQJEAN3NI0014SHRHNJF2P0KXRB
23,1738368241,2025-02-01T00:04:01.000Z,rEU9J3fhUv3H9bxpHpCZjuxcSgdBxAaJvs,Payment,50  XRP ,50,XRP,,151.3855,received,,,,,0,,0,XRP,0,,XO14KNW53DENRNIRRQDA6R7WR1RGH1ZHKDZKTFNQMX8DW9XQFR8N7KC95CTVJ2B2
24,1738358611,2025-01-31T21:23:31.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,"262,518,108  PCSH ",262518107.9,5043534800000000000000000000000000000000,rEQqDLHYBA5cLuVpm3by6kaThvZQJL8q68,15.6427399475397482361052987748,received,,,,,0,,0,XRP,0,,YOTHHUCT4JRK3OQJJIKWR7MIBDIDST1NPO4J2WBK5A2O0ARJGIFN84POJA4QTQ4P
25,1738334421,2025-01-31T14:40:21.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,"1,640  OAR ",1640,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.571964026919999949428468,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : PARC,8O571TRMI8YJB8NFVFH37OWF3DW3DZPE3YKSAWZGZSS39OLVSF6SNEVSGTC4C6AY
26,1738334421,2025-01-31T14:40:21.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,801  OAR ,801,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.2793556009529999753001237,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : MonkeyPUNKs,Q2JOBTN6FX03XH8LCSCJ6V8O5KO2IVF8QYL6J4Y0CECF12TU50001ADQDY019QTQ
27,1738292212,2025-01-31T02:56:52.000Z,rMZ2ax5gQ2EKNmZ5U9GsdAd6cVxjcWKnKm,TrustSet,-0.000012  XRP ,-0.000012,XRP,,-3.72103E-05,sent,,,,,0,0.000012  XRP ,0.000012,XRP,3.72103E-05,Transaction initiated via XPmarket.com,W0K0OZFEA7ZHCHL4A45W0AD0BP67X41PO7VC4DDGXY9235T5Z5HYXHNU4ES80237
28,1738247821,2025-01-30T14:37:01.000Z,rMZ2ax5gQ2EKNmZ5U9GsdAd6cVxjcWKnKm,Payment,"1,640  OAR ",1640,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.575432577719999949121788,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : PARC,QXXFZWAS6F45NNWB7CELF00VWXL7170IC4Y3EHNJ3YDITTCHWDRJUNRFBTF6CIXU
29,1738247821,2025-01-30T14:37:01.000Z,rMZ2ax5gQ2EKNmZ5U9GsdAd6cVxjcWKnKm,Payment,801  OAR ,801,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.2810496919229999751503367,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : MonkeyPUNKs,KRZPS7QQXZQ8H589R8EJQ9JHJSFXAY3TGG0YWZPJF0YXPNURT4H3M5WSUSD1ROOV
