Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-17T04:23:20.000Z,,,,,0.000012,XRP,29.3916052511,USD,,,9473FA72367E185DA36CB4BF9C5269A113975390CCA2C755BCC50D790354F10F
2025-01-16T04:49:42.000Z,,,0.000001,XRP,0,XRP,0.00000307638,USD,,,260D97E50B89E9B7E2FDB9BEA65106EA6ED423AD7238DE7222AB940F26248287
2025-01-16T04:49:42.000Z,,,0.000001,XRP,0,XRP,0.00000307638,USD,,,D2EDFE3FD4D14288AE9F457503FFB779F480C72A4D7EACE41141AD8358943F1B
2025-01-16T04:49:22.000Z,-100000,ID:5607298,,,0,XRP,-38.94697079999999692362,USD,,,9F81FA55FFF54677A02F7D72CFDCA09007B29F06185B679531A92EDA420A8397
2025-01-16T04:49:22.000Z,,,,,0.000012,XRP,61.6017715218,USD,,,9F81FA55FFF54677A02F7D72CFDCA09007B29F06185B679531A92EDA420A8397
2025-01-15T14:35:10.000Z,,,0.000001,XRP,0,XRP,0.00000286346,USD,,,5711F8A800D7DC42684C17231A8144A2391D8C0A6385FE7008AEC11600B83CC2
2025-01-15T14:35:01.000Z,,,0.000001,XRP,0,XRP,0.00000286346,USD,,,98F3578F249DC722B807E6937C32D12B1DC34F0572D2E9919B1699E2AE988330
2025-01-15T14:34:40.000Z,-104555.27356,ID:5607298,,,0,XRP,-37.9937825550997323713230869415691002,USD,,,291085017224025B67B6F6FF602716AE3241AC114AE437F93517714BB07AFCA4
2025-01-15T14:34:40.000Z,,,,,0.000012,XRP,39.47121833354,USD,,,291085017224025B67B6F6FF602716AE3241AC114AE437F93517714BB07AFCA4
2025-01-15T14:23:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000343248,USD,,,ECCE598C5957F4C783247E174946C53D7C0557D01584740A6BC52C6E906F5805
2025-01-15T13:58:21.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,2DEE54966CAAC1044507B6E2E08B9A8B9D77F34E85C0D9FD6D198272002120E2
2025-01-15T13:58:20.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,9ACFBF9BD056021B1D10A43FCDA17A82D01ABCC6EB38BCC95748A370E5AAFB7E
2025-01-15T13:57:52.000Z,-5000,ID:298660,,,0,XRP,-2.90345322314927355054,USD,,,FB49C188CD2B34E298B30A0A2239807DD7A074242E0B1BC97E720B6E805695A0
2025-01-15T13:57:52.000Z,,,,,0.000012,XRP,8.4749733252,USD,,,FB49C188CD2B34E298B30A0A2239807DD7A074242E0B1BC97E720B6E805695A0
2025-01-15T13:56:42.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,D9BE48BC944713A163829FC440F2E47E2E09E40C22DBDCCD4BAB6CD435917D3F
2025-01-15T13:56:42.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,00D88B8C7FFBDFA3CB27EECBA69628FA79515077E97DBF7F9DE27C485A3A14D9
2025-01-15T13:56:20.000Z,-100000,ID:5607298,,,0,XRP,-37.722325103638450591464340862829528,USD,,,45A0B7A8F37E7959A055235B9A5F33661490D0F32569F4116A4F4AA56EE22F7F
2025-01-15T13:56:20.000Z,,,,,0.000012,XRP,37.7641420996,USD,,,45A0B7A8F37E7959A055235B9A5F33661490D0F32569F4116A4F4AA56EE22F7F
2025-01-13T04:40:52.000Z,,,0.000001,XRP,0,XRP,0.00000252248,USD,,,F20AD532C5DD45E7A204D176831034BFAF6F9A8FA274E740747641AAC02731BC
2025-01-13T04:40:32.000Z,,,600,XRP,0,XRP,1513.488,USD,,,C112275B0BE31AB9E3004CA6E1949E26D93124654399CC250894BF7DA40C3EEE
2025-01-10T20:02:22.000Z,-50.000012,XRP,,,0.000012,XRP,-117.862528287,USD,,,CFC450A044A769FAF6B0627BDEA496F10F1900BE39911F7940316975051EE612
2025-01-09T14:32:52.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002726532,USD,,,5433459864179CD3B99307442A883199E6C752030DC6936E7246071346FB6A86
2025-01-09T14:32:10.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002726532,USD,,,A753A039578B67DBA85DE0E49F6BAE5F65450A2A71D4714B9AA85BDF7B102D79
2025-01-09T14:31:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002726532,USD,,,6B1A6620E76F15115BF43A33455EC749EBB55599C980B46D8B25451BFA16E03B
2025-01-08T18:34:00.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002762004,USD,,,76D7654AFA079FF2B28F19E4C8C1CFED2EF024FEC68D17A3606EBCCE99B6FB46
2025-01-08T11:42:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000279102,USD,,,E5F2D6CD8B94B3FBC0365D4446CC0421B98DDEB1C2441FD6FDFBCCFEFA38C2F0
2025-01-08T11:41:10.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000279102,USD,,,C6BB38AA33622E3D084624CE97CFF1082D4385D54C0344452C9A32D102512DAC
2025-01-07T19:17:52.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000275304,USD,,,86522A1D67C99714D1A3CF3A0071F03E26D105DC581A4F4C808D8B2C388BFD70
2025-01-07T19:17:02.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000275304,USD,,,466D360D6391101D3AA993D8F5F6998E4343E67B0F31EA87893190B97FEB51E1
2025-01-07T19:16:50.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000275304,USD,,,667CA3DE0E583A4FFE9B33A98265ED2D752D45EA4C07D702B072FEF6C78F7A54
2025-01-07T19:16:31.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000275304,USD,,,6EDF5081C58788366309AC4D5B4AE697DE32E99124F54B7FCF623B8C38C6938E
2025-01-07T19:16:01.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000275304,USD,,,11D00E1C5870FFBB96497A8B95B8A76DC9F0510F9FA791F69B1683189EFB99F4
2025-01-07T00:52:22.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,1AADCCE2FB7D7CA485DE826014ED07C091D307E2B2C788212CBE42C11EE872C5
2025-01-07T00:52:10.000Z,-0.000000000003,ID:41562,,,0,XRP,-0.0000000000000731798010871025424135504,USD,,,CAFCAC03EEE495607D2F77D30B8FF312EC7EA57573F85366BD52101366418EB2
2025-01-07T00:52:10.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,CAFCAC03EEE495607D2F77D30B8FF312EC7EA57573F85366BD52101366418EB2
2025-01-07T00:51:40.000Z,-6670.17507069163,ID:41562,,,0,XRP,-162.330678714083358661186158907658697056,USD,,SWAP Transaction initiated via XPmarket.com,9EA2B2529A4D23350CE2E442AF158D4F0A99202EE23DC09D49ABCF5D7B6F44AE
2025-01-07T00:51:40.000Z,,,,,0.000012,XRP,180.95656736504,USD,,SWAP Transaction initiated via XPmarket.com,9EA2B2529A4D23350CE2E442AF158D4F0A99202EE23DC09D49ABCF5D7B6F44AE
2025-01-07T00:50:30.000Z,-612898.655074476,ID:23042244,,,0,XRP,-19.6211308079347140439271980756030248,USD,,AMM withdraw initiated via XPmarket.com,73535BB1280CDFCA5D6372E22F128347C911BEE81483F3DCE38916777D53BBAD
2025-01-07T00:50:30.000Z,,,,,0,XRP,175.82771461324114884685381442260910462112,USD,,AMM withdraw initiated via XPmarket.com,73535BB1280CDFCA5D6372E22F128347C911BEE81483F3DCE38916777D53BBAD
2025-01-07T00:50:30.000Z,,,,,0.000012,XRP,182.38364670576,USD,,AMM withdraw initiated via XPmarket.com,73535BB1280CDFCA5D6372E22F128347C911BEE81483F3DCE38916777D53BBAD
2025-01-07T00:48:21.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,0D642BFA1A127707773CB42939EFDCB630E38A9818D8228FB3F560E1AEDB67A2
2025-01-07T00:47:41.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,A8CD4784106D187158E27EA1820EF8DF258E7C9C9DA2593134474F3ECE3B23AC
2025-01-07T00:47:10.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,15196022F8FC5DB8644426B9E2977B0FC4ADC04077DEBBEC11A105434E2E26D3
2025-01-07T00:31:00.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,12138CD8D38854C506DC393BF61CD6E0B3B0CFB2F5CFDEFA220EFE8D93CEB8A5
2025-01-07T00:30:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00002889624,USD,,,543F7DBB70BE7CB2453912CB8013884D4BE83E168E549C69452B958024775DBD
2025-01-07T00:29:01.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,736AC72F298ACC394EAA171DAB77BE45D6DA9B6CB64884651654B93282DFCAB4
2025-01-07T00:27:31.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,0D88DA121B9CB1C59689447A8349A186245A046B617B5980E2AB32056D149BD3
2025-01-07T00:27:11.000Z,-0.000009999999917,ID:6250555,,,0,XRP,0,USD,,,1B58C70D72EE3293CB60E40F8286449580651346998C91FD6AB2AA53B40B9888
2025-01-07T00:27:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000290454,USD,,,1B58C70D72EE3293CB60E40F8286449580651346998C91FD6AB2AA53B40B9888
2025-01-07T00:25:50.000Z,-400,ID:14799,,,0,XRP,-125.86342086721286503283010138584117314,USD,,SWAP Transaction initiated via XPmarket.com,299FFDEDCD56F915EBF87C9205E1B9B545690BD82561FD399B90BB8BD627FADC
