Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-22T17:16:20.000Z,0,,0,,0,XRP,15.4208419350890128,USD,,,5BB713EC5F49EFCEAD0143B1428005814D8A8C997B25AB2975AA27B39DD4A0BF
2025-01-21T19:27:30.000Z,-50000,ID:5607298,0,,0,XRP,-20.40622275,USD,,,76C5710A6E2ED38B26946E2B2D18FED91FA3D736105934422777D0126938170B
2025-01-21T19:27:30.000Z,0,,0,,0.000012,XRP,25.8628435023,USD,,,76C5710A6E2ED38B26946E2B2D18FED91FA3D736105934422777D0126938170B
2025-01-20T03:51:02.000Z,0,,3400,XRP,0,XRP,10573.184,USD,,,9816A8D4F36A8BA18D93BF242D8F324D9FE36F6D84437A4ECA3DF039DA3EF3B2
2025-01-20T00:35:20.000Z,-50000,ID:5607298,0,,0,XRP,-18.5954035,USD,,,7F7F75AD8714F0FB4FD461BC04F4982B894A6D567892F503C741B7D31E81EA92
2025-01-20T00:35:20.000Z,0,,0,,0.000012,XRP,31.19563426955,USD,,,7F7F75AD8714F0FB4FD461BC04F4982B894A6D567892F503C741B7D31E81EA92
2025-01-19T03:57:40.000Z,-50000,ID:5607298,0,,0,XRP,-29.22653795,USD,,,887726B89C9A691E730AC7DEEF6DB26A4921670F42E0078A1BC33D52F95B427D
2025-01-19T03:57:40.000Z,0,,0,,0.000012,XRP,36.05502887311,USD,,,887726B89C9A691E730AC7DEEF6DB26A4921670F42E0078A1BC33D52F95B427D
2025-01-17T04:23:20.000Z,-50000,ID:5607298,0,,0,XRP,-20.932613699999998346555,USD,,,9473FA72367E185DA36CB4BF9C5269A113975390CCA2C755BCC50D790354F10F
2025-01-17T04:23:20.000Z,0,,0,,0.000012,XRP,29.3916052511,USD,,,9473FA72367E185DA36CB4BF9C5269A113975390CCA2C755BCC50D790354F10F
2025-01-16T04:49:22.000Z,-100000,ID:5607298,0,,0,XRP,-38.94697079999999692362,USD,,,9F81FA55FFF54677A02F7D72CFDCA09007B29F06185B679531A92EDA420A8397
2025-01-16T04:49:22.000Z,0,,0,,0.000012,XRP,61.6017715218,USD,,,9F81FA55FFF54677A02F7D72CFDCA09007B29F06185B679531A92EDA420A8397
2025-01-15T14:34:40.000Z,-104555.27356,ID:5607298,0,,0,XRP,-37.9937825550997323713230869415691002,USD,,,291085017224025B67B6F6FF602716AE3241AC114AE437F93517714BB07AFCA4
2025-01-15T14:34:40.000Z,0,,0,,0.000012,XRP,39.47121833354,USD,,,291085017224025B67B6F6FF602716AE3241AC114AE437F93517714BB07AFCA4
2025-01-15T13:57:52.000Z,-5000,ID:298660,0,,0,XRP,-2.90345322314927355054,USD,,,FB49C188CD2B34E298B30A0A2239807DD7A074242E0B1BC97E720B6E805695A0
2025-01-15T13:57:52.000Z,0,,0,,0.000012,XRP,8.4749733252,USD,,,FB49C188CD2B34E298B30A0A2239807DD7A074242E0B1BC97E720B6E805695A0
2025-01-15T13:56:20.000Z,-100000,ID:5607298,0,,0,XRP,-37.722325103638450591464340862829528,USD,,,45A0B7A8F37E7959A055235B9A5F33661490D0F32569F4116A4F4AA56EE22F7F
2025-01-15T13:56:20.000Z,0,,0,,0.000012,XRP,37.7641420996,USD,,,45A0B7A8F37E7959A055235B9A5F33661490D0F32569F4116A4F4AA56EE22F7F
2025-01-13T04:40:32.000Z,0,,600,XRP,0,XRP,1513.488,USD,,,C112275B0BE31AB9E3004CA6E1949E26D93124654399CC250894BF7DA40C3EEE
2025-01-07T00:52:10.000Z,-3e-12,ID:41562,0,,0,XRP,-0.0000000000000731798010871025424135504,USD,,,CAFCAC03EEE495607D2F77D30B8FF312EC7EA57573F85366BD52101366418EB2
2025-01-07T00:51:40.000Z,-6670.17507069163,ID:41562,0,,0,XRP,-162.330678714083358661186158907658697056,USD,,SWAP Transaction initiated via XPmarket.com,9EA2B2529A4D23350CE2E442AF158D4F0A99202EE23DC09D49ABCF5D7B6F44AE
2025-01-07T00:51:40.000Z,0,,0,,0.000012,XRP,180.95656736504,USD,,SWAP Transaction initiated via XPmarket.com,9EA2B2529A4D23350CE2E442AF158D4F0A99202EE23DC09D49ABCF5D7B6F44AE
2025-01-07T00:50:30.000Z,-612898.655074476,ID:23042244,0,,0,XRP,-19.6211308079347140439271980756030248,USD,,AMM withdraw initiated via XPmarket.com,73535BB1280CDFCA5D6372E22F128347C911BEE81483F3DCE38916777D53BBAD
2025-01-07T00:50:30.000Z,0,,0,,0,XRP,175.82771461324114884685381442260910462112,USD,,AMM withdraw initiated via XPmarket.com,73535BB1280CDFCA5D6372E22F128347C911BEE81483F3DCE38916777D53BBAD
2025-01-07T00:50:30.000Z,0,,0,,0.000012,XRP,182.38364670576,USD,,AMM withdraw initiated via XPmarket.com,73535BB1280CDFCA5D6372E22F128347C911BEE81483F3DCE38916777D53BBAD
2025-01-07T00:27:11.000Z,-0.000009999999917,ID:6250555,0,,0,XRP,0,USD,,,1B58C70D72EE3293CB60E40F8286449580651346998C91FD6AB2AA53B40B9888
2025-01-07T00:25:50.000Z,-400,ID:14799,0,,0,XRP,-125.86342086721286503283010138584117314,USD,,SWAP Transaction initiated via XPmarket.com,299FFDEDCD56F915EBF87C9205E1B9B545690BD82561FD399B90BB8BD627FADC
2025-01-07T00:25:50.000Z,0,,0,,0.000012,XRP,154.27195782095,USD,,SWAP Transaction initiated via XPmarket.com,299FFDEDCD56F915EBF87C9205E1B9B545690BD82561FD399B90BB8BD627FADC
2025-01-07T00:25:11.000Z,-100,ID:14799,0,,0,XRP,-31.46587086721287352860960138584117314,USD,,SWAP Transaction initiated via XPmarket.com,A00C594D84E8F98666B7EC2FD9435CB070B9A13146FC1293BCF5B7CBC77B9AFF
2025-01-07T00:25:11.000Z,0,,0,,0.000012,XRP,38.6228156733,USD,,SWAP Transaction initiated via XPmarket.com,A00C594D84E8F98666B7EC2FD9435CB070B9A13146FC1293BCF5B7CBC77B9AFF
2025-01-07T00:23:21.000Z,0,,0,,0.000012,XRP,302.3172015171,USD,,SWAP Transaction initiated via XPmarket.com,16DFDD449B738FEAC98117C1DE7B3A31EE85D215CF2856C04E68DE578CBE8ED2
2025-01-07T00:23:21.000Z,-1500000,ID:1174,0,,0,XRP,-284.688820034147493341182251525,USD,,SWAP Transaction initiated via XPmarket.com,16DFDD449B738FEAC98117C1DE7B3A31EE85D215CF2856C04E68DE578CBE8ED2
