Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-31T14:40:21.000Z,,,1640,ID:5607298,0,XRP,0.571964026919999949428468,USD,,Tipper NFT Faucet : PARC - drop #17230,9119B02547405B8A1024355361F7A24B139D2734A881F926CFDF9975638B3638
2025-01-31T14:40:21.000Z,,,801,ID:5607298,0,XRP,0.2793556009529999753001237,USD,,Tipper NFT Faucet : MonkeyPUNKs - drop #19711,C915A8278A900512CA043E7732EBA36DDC45A09FDD5927A84EEC229B54760C30
2025-01-31T02:56:52.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00003721032,USD,,Transaction initiated via XPmarket.com,C5E7F0A1E2A3E9421B3A6CBB77D77A3FF59DA318A1DFD2E45EB8226426484CFF
2025-01-30T14:37:01.000Z,,,1640,ID:5607298,0,XRP,0.575432577719999949121788,USD,,Tipper NFT Faucet : PARC - drop #12025,8056E13293F7FFB745E2E013EBE5D2FBAB403C01E8A24D4B97E39EA6F4A9089F
2025-01-30T14:37:01.000Z,,,801,ID:5607298,0,XRP,0.2810496919229999751503367,USD,,Tipper NFT Faucet : MonkeyPUNKs - drop #17474,5ACF57D66467F455B8293C415ED5F8A44C3E757CA420D6BE5016A723223AC657
2025-01-29T14:36:00.000Z,,,0.000001,XRP,0,XRP,0.00000306424,USD,,,3E5C6F4A246868C1D3EB4BCEB69A65FB1F00EF439D40F8FD4A905D1AF0EC4ACB
2025-01-29T14:35:52.000Z,,,0.000001,XRP,0,XRP,0.00000306424,USD,,,4B0C35C6394B3D7F3541236A81BD123965D713942D1087FA830FB79852E76DCA
2025-01-29T14:35:40.000Z,-4882,ID:5607298,,,0,XRP,-1.6922477137019998503759758,USD,,,488935D06CB22F7E777861AA4F2B54DDF7E7F2B982BDDA20CC24D4022954D326
2025-01-29T14:35:40.000Z,,,,,0.000012,XRP,1.780961091,USD,,,488935D06CB22F7E777861AA4F2B54DDF7E7F2B982BDDA20CC24D4022954D326
2025-01-29T14:32:10.000Z,,,1640,ID:5607298,0,XRP,0.569502654239999949646096,USD,,Tipper NFT Faucet : PARC - drop #19823,CDB0139D5497D492F3C902A964EA5ADFEDAA55F10417B16ED4F64130970EEE61
2025-01-29T14:32:10.000Z,,,801,ID:5607298,0,XRP,0.2781534305159999754064164,USD,,Tipper NFT Faucet : MonkeyPUNKs - drop #16870,BDC3EF98A1274738994F43BDA447F30B9B53C94390311A838302010E7A27E442
2025-01-28T17:44:21.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000378744,USD,,Sell offer by xrp.cafe,8405BCCFCA89B1EF0BA2D91AF7CCB07995D07AE1A4A426BDA7934B778C894AD8
