Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-22T17:21:10.000Z,-5.000012,XRP,,,0.000012,XRP,-15.82698798468,USD,,,D442C93AADBDA5799F1793C2F8E8561B6E42D1849649AB5D09169A26991DF8C0
2025-01-22T17:21:10.000Z,,,,,0,XRP,15.36427281939290496,USD,,,D442C93AADBDA5799F1793C2F8E8561B6E42D1849649AB5D09169A26991DF8C0
2025-01-22T17:19:11.000Z,,,0.000001,XRP,0,XRP,0.00000316539,USD,,,F8F15C42F729494020EE2624EBF73047E11503B384554FA15459406745F92AE4
2025-01-22T17:18:51.000Z,,,5,XRP,0,XRP,15.82695,USD,,,27F0873BA8A0751821F0D46940472A8DC66F8F298C9031B2F286BE3BA888AF16
2025-01-22T17:18:01.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00003798468,USD,,,B4555D18671BEFD30376066A7C7617D4C034AF784F48011C167253BCC21DF8E1
2025-01-15T14:27:01.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,6D0A5F0B8654C6FDB6108A089D4403C4D72C582AE05E6CA214E4EF15E70190B9
2025-01-15T14:27:01.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,2757162B7DF1E607FE21EA1F473ED265DCE79721650F93D4451BE80180D752B3
2025-01-15T14:26:31.000Z,,,,,0.000012,XRP,1.2746400064,USD,,,37D8700C1D4BCC27383DD4D25AA9C9450EAB8473724EBB03B6806B9D22F5F2B9
2025-01-15T14:26:31.000Z,-44275.0931,ID:15347335,,,0,XRP,-0.0000139371920036860243896352,USD,,,37D8700C1D4BCC27383DD4D25AA9C9450EAB8473724EBB03B6806B9D22F5F2B9
