Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-22T17:21:10.000Z,-5.000012,XRP,0,,0.000012,XRP,-15.82698798468,USD,,,D442C93AADBDA5799F1793C2F8E8561B6E42D1849649AB5D09169A26991DF8C0
2025-01-22T17:21:10.000Z,0,,28305.2030504,,0,XRP,15.36427281939290496,USD,,,D442C93AADBDA5799F1793C2F8E8561B6E42D1849649AB5D09169A26991DF8C0
2025-01-22T17:18:51.000Z,0,,5,XRP,0,XRP,15.82695,USD,,,27F0873BA8A0751821F0D46940472A8DC66F8F298C9031B2F286BE3BA888AF16
2025-01-15T14:26:31.000Z,0,,0.445616,XRP,0.000012,XRP,1.2746400064,USD,,,37D8700C1D4BCC27383DD4D25AA9C9450EAB8473724EBB03B6806B9D22F5F2B9
2025-01-15T14:26:31.000Z,-44275.0931,ID:15347335,0,,0,XRP,-0.0000139371920036860243896352,USD,,,37D8700C1D4BCC27383DD4D25AA9C9450EAB8473724EBB03B6806B9D22F5F2B9
